Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
GDL^C,The GDL Fund,50.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gdl^c
THG,"The Hanover Insurance Group, Inc.",116.53,$4.96B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/thg
THGA,"The Hanover Insurance Group, Inc.",25.1347,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/thga
MSG,The Madison Square Garden Company,242.82,$5.72B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/msg
RUBI,"The Rubicon Project, Inc.",1.7,$85.43M,2014,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/rubi
TRV,"The Travelers Companies, Inc.",134.84,$36.6B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/trv
TMO,Thermo Fisher Scientific Inc,203.14,$81.62B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tmo
THR,"Thermon Group Holdings, Inc.",21.97,$713.24M,2011,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/thr
TPRE,Third Point Reinsurance Ltd.,13.5,$1.4B,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/tpre
TSLF,THL Credit Senior Loan Fund,17.051,$126.5M,2013,n/a,n/a,https://www.nasdaq.com/symbol/tslf
TCRX,"THL Credit, Inc.",25.22,n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/tcrx
TCRZ,"THL Credit, Inc.",25.7,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/tcrz
TRI,Thomson Reuters Corp,38.68,$27.45B,n/a,Consumer Services,Publishing,https://www.nasdaq.com/symbol/tri
THO,"Thor Industries, Inc.",109.48,$5.77B,n/a,Consumer Non-Durables,Homebuilding,https://www.nasdaq.com/symbol/tho
TDW,Tidewater Inc.,28.63,$679.41M,2017,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/tdw
TDW.WS.A,Tidewater Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tdw.ws.a
TDW.WS.B,Tidewater Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tdw.ws.b
TIER,"TIER REIT, Inc.",18.28,$873.66M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/tier
TIF,Tiffany & Co.,94.87,$11.8B,1987,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/tif
